epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,2066.04,1.40406,1.3616,1.51885,0.48587,0.57456,0.58316,0.27796,1.78108,1.59559,1.91276,0.0059905,0.0059905,0.0059905
83,2090.76,1.41346,1.39075,1.51558,0.31461,0.34621,0.3205,0.12709,2.27481,2.76101,2.50894,0.005941,0.005941,0.005941
84,2114.93,1.39237,1.35432,1.49861,0.64183,0.6326,0.6644,0.32576,1.68333,1.48097,1.80932,0.0058915,0.0058915,0.0058915
85,2139.39,1.40696,1.35507,1.50225,0.65818,0.52844,0.61747,0.30346,1.74033,nan,1.90171,0.005842,0.005842,0.005842
86,2163.71,1.39063,1.34509,1.49455,0.70312,0.53453,0.63954,0.31075,1.76902,1.47476,1.90821,0.0057925,0.0057925,0.0057925
87,2188.07,1.4216,1.36911,1.51442,0.58195,0.52419,0.59239,0.26534,1.89868,1.59082,1.96242,0.005743,0.005743,0.005743
88,2214.16,1.37761,1.34148,1.50206,0.74196,0.52332,0.63668,0.30381,1.76838,1.57331,1.91896,0.0056935,0.0056935,0.0056935
89,2239.68,1.41199,1.39132,1.51953,0.53834,0.56658,0.59103,0.26654,1.86451,nan,1.93541,0.005644,0.005644,0.005644
90,2264.03,1.3886,1.36646,1.50859,0.66254,0.60412,0.67673,0.32317,1.7412,1.49626,1.86115,0.0055945,0.0055945,0.0055945
91,2288.38,1.39525,1.32595,1.51369,0.56769,0.54376,0.60197,0.28117,1.88804,1.60719,1.95735,0.005545,0.005545,0.005545
92,2313.24,1.38543,1.3295,1.49471,0.64834,0.55647,0.64106,0.29184,1.77737,1.51139,1.89636,0.0054955,0.0054955,0.0054955
93,2337.67,1.37322,1.32522,1.49666,0.52349,0.47787,0.51357,0.23671,1.85178,1.81382,1.99807,0.005446,0.005446,0.005446
94,2362.04,1.36344,1.29149,1.47514,0.65457,0.56666,0.68117,0.32481,1.76061,1.47251,1.88998,0.0053965,0.0053965,0.0053965
95,2386.44,1.37799,1.30956,1.49125,0.5509,0.64706,0.65688,0.31645,1.76051,1.46788,1.8874,0.005347,0.005347,0.005347
96,2410.58,1.4031,1.31483,1.49514,0.44987,0.48085,0.50293,0.23674,1.929,1.98,2.05847,0.0052975,0.0052975,0.0052975
97,2435.19,1.36324,1.29699,1.48113,0.38407,0.45057,0.4106,0.17903,2.148,2.686,2.32351,0.005248,0.005248,0.005248
98,2460.02,1.37275,1.31427,1.48078,0.5888,0.3874,0.43926,0.19895,2.10604,2.08692,2.20991,0.0051985,0.0051985,0.0051985
99,2484.42,1.36172,1.2945,1.48344,0.57161,0.5682,0.59681,0.25842,1.92398,1.7546,2.04881,0.005149,0.005149,0.005149
100,2508.62,1.341,1.29686,1.46775,0.46524,0.56836,0.54636,0.24384,1.91394,1.74621,2.01534,0.0050995,0.0050995,0.0050995
101,2533.08,1.36783,1.33763,1.4885,0.52826,0.61505,0.59556,0.28267,1.78875,1.59781,1.90925,0.00505,0.00505,0.00505
102,2557.49,1.35692,1.30089,1.47402,0.52701,0.55901,0.55845,0.2581,1.87903,1.66984,1.96292,0.0050005,0.0050005,0.0050005
103,2581.97,1.34153,1.27824,1.45935,0.58209,0.67936,0.7009,0.34391,1.68795,1.411,1.84076,0.004951,0.004951,0.004951
104,2606.74,1.34447,1.26915,1.47119,0.62425,0.63769,0.68403,0.34305,1.71776,1.36466,1.85158,0.0049015,0.0049015,0.0049015
105,2631.09,1.35619,1.28289,1.4819,0.49946,0.55993,0.5771,0.26782,1.91674,1.80002,2.0005,0.004852,0.004852,0.004852
106,2655.69,1.34062,1.2671,1.45806,0.5835,0.6026,0.64563,0.31667,1.7398,1.47008,1.87316,0.0048025,0.0048025,0.0048025
107,2679.89,1.36084,1.28564,1.48468,0.61035,0.6558,0.66849,0.33007,1.7104,1.39676,1.81789,0.004753,0.004753,0.004753
108,2704.81,1.33153,1.25206,1.45673,0.68977,0.61464,0.69368,0.34166,1.69128,1.35188,1.8169,0.0047035,0.0047035,0.0047035
109,2729.19,1.35289,1.25774,1.46935,0.55365,0.65799,0.66636,0.32392,1.74513,1.46192,1.90008,0.004654,0.004654,0.004654
110,2753.76,1.34885,1.23801,1.46194,0.59709,0.62926,0.66776,0.31548,1.7434,1.43917,1.84861,0.0046045,0.0046045,0.0046045
