epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,5119.07,1.35495,1.32217,1.51618,0.5341,0.57255,0.55049,0.25527,1.76925,1.71393,1.99042,0.00505,0.00505,0.00505
102,5169.23,1.36115,1.31847,1.51103,0.40391,0.58812,0.47019,0.2196,1.82179,1.97747,2.008,0.0050005,0.0050005,0.0050005
103,5219.22,1.37937,1.34014,1.52035,0.65359,0.6039,0.66731,0.32365,1.70816,1.46688,1.88854,0.004951,0.004951,0.004951
104,5270.74,1.3762,1.32731,1.52494,0.5211,0.65202,0.61453,0.29081,1.73717,1.55376,1.92415,0.0049015,0.0049015,0.0049015
105,5320.71,1.37418,1.33096,1.52134,0.55775,0.68967,0.68346,0.31335,1.73675,1.52827,1.94951,0.004852,0.004852,0.004852
106,5370.66,1.36195,1.33483,1.50836,0.45077,0.60591,0.55215,0.24131,1.86817,1.77133,2.11863,0.0048025,0.0048025,0.0048025
107,5420.83,1.36168,1.31674,1.52014,0.56593,0.62899,0.63238,0.30211,1.72206,1.52967,1.88551,0.004753,0.004753,0.004753
108,5470.96,1.33514,1.29749,1.50238,0.58116,0.5616,0.60821,0.29146,1.74338,1.61268,1.95397,0.0047035,0.0047035,0.0047035
109,5521,1.33131,1.28536,1.49835,0.57751,0.62187,0.63317,0.30957,1.71263,1.48245,1.92838,0.004654,0.004654,0.004654
110,5571.15,1.33449,1.2804,1.49611,0.56844,0.60662,0.62614,0.29857,1.73214,1.58327,1.9312,0.0046045,0.0046045,0.0046045
111,5621.1,1.34742,1.28994,1.5087,0.62745,0.66392,0.68789,0.33998,1.6898,1.42863,1.87984,0.004555,0.004555,0.004555
112,5672.67,1.35824,1.28577,1.50713,0.49019,0.62777,0.59824,0.28643,1.74645,1.73887,1.95602,0.0045055,0.0045055,0.0045055
113,5722.75,1.34691,1.28615,1.50286,0.61256,0.60234,0.65184,0.31976,1.71118,1.4759,1.92717,0.004456,0.004456,0.004456
114,5772.68,1.35331,1.29002,1.50753,0.57134,0.63148,0.6433,0.31233,1.71569,1.50824,1.92384,0.0044065,0.0044065,0.0044065
115,5822.66,1.32224,1.24803,1.47619,0.64726,0.61524,0.66904,0.33129,1.69,1.53551,1.89528,0.004357,0.004357,0.004357
116,5872.64,1.3309,1.26924,1.4902,0.5565,0.55536,0.58137,0.27384,1.82732,1.70016,2.02984,0.0043075,0.0043075,0.0043075
117,5923,1.34314,1.29545,1.50624,0.61246,0.64459,0.66455,0.33349,1.65566,1.44542,1.86615,0.004258,0.004258,0.004258
118,5973.51,1.34706,1.27264,1.50216,0.54233,0.55489,0.56179,0.26042,1.81126,1.69106,2.00719,0.0042085,0.0042085,0.0042085
119,6023.96,1.34389,1.25385,1.48913,0.60653,0.6584,0.69189,0.34466,1.6571,1.41592,1.89422,0.004159,0.004159,0.004159
120,6075.97,1.3341,1.27317,1.50368,0.55129,0.65475,0.66579,0.32936,1.65276,1.473,1.86784,0.0041095,0.0041095,0.0041095
121,6126.22,1.31476,1.23039,1.4739,0.62602,0.63229,0.66466,0.32289,1.70634,1.4746,1.91797,0.00406,0.00406,0.00406
122,6176.44,1.3296,1.24987,1.48981,0.70804,0.62863,0.70743,0.34196,1.68978,1.38246,1.90719,0.0040105,0.0040105,0.0040105
123,6227.38,1.32149,1.25436,1.49101,0.62447,0.57428,0.61317,0.29346,1.76235,1.50357,1.96052,0.003961,0.003961,0.003961
124,6277.51,1.30711,1.24095,1.47481,0.60528,0.60134,0.65056,0.31213,1.71628,1.48896,1.90512,0.0039115,0.0039115,0.0039115
125,6327.89,1.27762,1.19558,1.46526,0.59777,0.67032,0.67342,0.32882,1.69998,1.40501,1.90401,0.003862,0.003862,0.003862
126,6378.04,1.29569,1.19815,1.46513,0.67805,0.61824,0.68915,0.32207,1.74012,1.42217,1.92815,0.0038125,0.0038125,0.0038125
127,6428.37,1.32038,1.24026,1.4831,0.63766,0.64983,0.69024,0.32522,1.71038,1.45143,1.90448,0.003763,0.003763,0.003763
128,6478.35,1.30225,1.21437,1.4782,0.53768,0.62936,0.63943,0.30488,1.73538,1.51519,1.93684,0.0037135,0.0037135,0.0037135
129,6528.78,1.29553,1.22374,1.47246,0.46256,0.54783,0.48352,0.23228,1.96988,2.22427,2.21641,0.003664,0.003664,0.003664
130,6579.32,1.30306,1.21341,1.4734,0.59048,0.59177,0.63625,0.30869,1.72512,1.50959,1.93185,0.0036145,0.0036145,0.0036145
131,6629.79,1.29441,1.21783,1.46082,0.59222,0.66498,0.68138,0.33768,1.63376,1.40247,1.82325,0.003565,0.003565,0.003565
132,6679.81,1.30102,1.21258,1.4599,0.62007,0.63196,0.66451,0.32524,1.70785,1.42824,1.91158,0.0035155,0.0035155,0.0035155
133,6729.88,1.28969,1.18952,1.45721,0.62309,0.62145,0.67333,0.31902,1.73476,1.43039,1.93857,0.003466,0.003466,0.003466
134,6780.2,1.27736,1.19633,1.45447,0.5938,0.65709,0.67919,0.31232,1.72461,1.48554,1.92288,0.0034165,0.0034165,0.0034165
135,6830.17,1.27984,1.17176,1.44102,0.57466,0.63008,0.63582,0.29912,1.74359,1.49322,1.95704,0.003367,0.003367,0.003367
136,6880.06,1.28237,1.17903,1.46195,0.62428,0.63386,0.68659,0.31051,1.73843,1.42581,1.91779,0.0033175,0.0033175,0.0033175
137,6930.34,1.26065,1.16841,1.43873,0.63583,0.62358,0.67552,0.33399,1.69327,1.38244,1.91104,0.003268,0.003268,0.003268
138,6980.24,1.27076,1.19325,1.4451,0.68626,0.61074,0.6782,0.31973,1.72374,1.39222,1.92619,0.0032185,0.0032185,0.0032185
139,7030.84,1.26344,1.17257,1.45209,0.56906,0.66613,0.66437,0.31512,1.69581,1.43942,1.93943,0.003169,0.003169,0.003169
140,7081.43,1.27364,1.17333,1.45272,0.60002,0.64714,0.67874,0.32882,1.71371,1.42492,1.93294,0.0031195,0.0031195,0.0031195
141,7131.84,1.2615,1.15594,1.43562,0.58469,0.656,0.68311,0.32051,1.74066,1.43324,1.9587,0.00307,0.00307,0.00307
142,7182.2,1.24388,1.14396,1.42475,0.59127,0.66127,0.68482,0.32439,1.74632,1.39248,1.95978,0.0030205,0.0030205,0.0030205
143,7232.33,1.24405,1.13179,1.42769,0.62826,0.66753,0.70185,0.33563,1.69763,1.35142,1.90543,0.002971,0.002971,0.002971
144,7282.34,1.24927,1.13522,1.42408,0.59343,0.65657,0.69114,0.3275,1.73068,1.41513,1.93567,0.0029215,0.0029215,0.0029215
